Thumb;SKU;Name;Color;Category;Category Position;Brand;Seller;Balance;First Date;Comments;Rating;Final price;SPP Price;Revenue potential;Days in stock;Sales;Sales Per Day Average;Revenue;Pics Count;Hax Video;Categories Last Count
https://basket-08.wb.ru/vol1154/part115478/115478182/images/c246x328/1.jpg;115478182;Простыня на резинке 160х200 Салина;синий;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;45;Feresa hygge;ООО ИСА;95;11.08.2022;128;5;1348;1187;292516;30;217;7,2333;292516;7;0;6
https://basket-05.wb.ru/vol839/part83984/83984938/images/c246x328/1.jpg;83984938;Простынь на резинке 90х200 х26см, хлопок;темно-серый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;106;YERRNA;ОАО Шуйские Ситцы ХБК;405;21.08.2022;347;5;982;864;290466;30;339;11,3;290466;11;1;3
https://basket-01.wb.ru/vol103/part10371/10371325/images/c246x328/1.jpg;10371325;простынь на резинке 140х200,простынь 2 спальная,резинка по периметру,100% хлопок,подарок;серый,белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;47;Ночь Нежна;ООО Альфа - Трейд;119;10.05.2020;410;5;876;770;290069;30;324;10,8;290069;9;1;3
https://basket-05.wb.ru/vol764/part76433/76433408/images/c246x328/1.jpg;76433408;Простынь на резинке 160х200 натяжная хлопок 2 спальная сатин;белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;22;SOFT.HOME;ИП Валевин Еа;0;28.04.2022;111;5;1804;1623;540585;16;178;5,9333;288312;5;0;6
https://basket-01.wb.ru/vol127/part12799/12799708/images/c246x328/1.jpg;12799708;Простыня на резинке, 160*200*20 см;черный;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;7819;Letto;ООО Метеор;182;10.06.2020;4129;5;649;571;285725;30;444;14,8;285725;4;0;1
https://basket-08.wb.ru/vol1154/part115481/115481243/images/c246x328/1.jpg;115481243;Простынь на резинке 180х200 Салина;белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;48;Feresa hygge;ООО ИСА;178;11.08.2022;127;5;1548;1362;284832;30;184;6,1333;284832;7;0;6
https://basket-02.wb.ru/vol263/part26353/26353699/images/c246x328/1.jpg;26353699;Простынь на резинке 160х200 натяжная простыня 160х200х30;белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;56;KARNA;ООО Соната;64;16.04.2021;609;5;1581;1391;280764;30;180;6;280764;4;0;6
https://basket-01.wb.ru/vol123/part12310/12310255/images/c246x328/1.jpg;12310255;Простынь на резинке 200х200 100% хлопок;хаки;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;49;ОТК ПРОИЗВОДСТВО;ООО ОТК Производство;293;21.05.2020;855;5;724;637;279900;30;411;13,7;279900;12;1;6
https://basket-01.wb.ru/vol134/part13445/13445270/images/c246x328/1.jpg;13445270;Простынь на резинке трикотажная 180х200;бежевый,карамельный;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;7767;Тридевятое царство (Домашний текстиль Т37);ООО Атекс;436;31.07.2020;2159;5;829;729;299751,4286;28;344;11,4667;279768;8;1;2
https://basket-05.wb.ru/vol864/part86495/86495179/images/c246x328/1.jpg;86495179;Простыни натяжные;карамельный;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;7824;ОТК ПРОИЗВОДСТВО;ООО ОТК Производство;535;07.10.2022;561;5;532;468;287830,3448;29;523;17,4333;278236;9;0;2
https://basket-03.wb.ru/vol335/part33560/33560439/images/c246x328/1.jpg;33560439;простынь на резинке 140х200 / бортик 20 см / бязь;серый,белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;91;Ночь Нежна;ООО Альфа - Трейд;122;06.07.2021;244;5;840;739;345800;24;315;10,5;276640;10;1;3
